,Active Humans,Active Bots,Deactivated Humans,Deactivated Bots,Average Human Satisfaction
0,105,41,0,0,99.3047663865033
1,117,66,0,1,98.87410855741687
2,122,84,0,2,98.96257760778663
3,130,107,0,2,98.06467585194295
4,133,129,0,4,97.2530602860569
5,139,147,0,4,96.44413709127006
6,145,177,0,4,95.79743081797407
7,149,188,0,5,94.3142791398074
8,153,210,0,8,92.91909597978659
9,157,223,0,10,91.88528866758583
10,168,236,0,13,90.27060702245568
11,178,262,0,13,89.02624730625593
12,179,281,0,13,87.09139524826949
13,183,299,0,16,86.0420566880355
14,187,311,0,19,85.29954188828268
15,195,329,0,20,85.03954962260467
16,201,349,0,21,83.58969812371645
17,210,371,0,23,83.01391558544151
18,213,386,0,27,80.89225027852356
19,216,401,1,30,79.83055229382572
20,222,424,2,33,79.43100598284668
21,221,448,4,35,78.43626416227383
22,226,463,5,38,77.44821096278065
23,230,479,6,41,76.64901141685942
24,235,495,8,43,76.1448542977588
25,241,509,9,47,75.33242061079021
26,243,533,10,47,73.73260232419969
27,245,559,12,50,72.40481999341145
28,245,566,15,55,71.95986278798061
29,249,585,15,61,70.15310755539711
30,250,602,16,64,68.02973993145645
31,261,610,16,67,67.5985482736047
32,255,624,25,73,68.01181861113301
33,256,633,27,77,67.02355169908185
34,260,640,30,85,66.77659999259514
35,259,655,36,93,66.74508731034304
36,256,674,41,97,65.35816153733401
37,258,685,43,105,63.50815890984021
38,261,708,46,105,62.607180134206104
39,255,720,55,110,62.83586136562845
40,257,729,60,115,62.946391565299706
41,256,745,65,119,61.94587816640024
42,259,756,68,124,61.06076837011152
43,255,770,76,135,60.8092944711452
44,258,778,80,147,60.85528590658794
45,261,795,83,149,59.66496288032188
46,259,812,88,157,58.68034199657883
47,259,826,92,159,57.930219552925784
48,257,836,99,165,58.45544120018539
49,262,853,102,173,58.577399854527265
50,262,870,106,177,57.835960793191575
51,259,880,114,182,58.23905274130843
52,261,896,123,185,59.83273871518064
53,261,914,126,190,58.4688506818837
54,258,928,134,192,58.70707867474079
55,261,944,140,196,59.253832736363634
56,255,955,146,202,57.957720101909615
57,249,969,154,209,57.719899886180784
58,245,981,164,213,58.585222243864216
59,243,993,174,223,59.26229532621587
60,242,1008,180,235,58.5546414605003
61,238,1025,187,241,57.81792409354128
62,239,1041,191,249,57.190051585166295
63,244,1055,194,258,56.518392889487124
64,241,1071,200,259,55.04689126735671
65,242,1083,203,267,54.41397242667263
66,234,1085,216,280,55.159349478798276
67,232,1097,224,284,55.56431815083297
68,231,1115,229,292,54.36291067886168
69,232,1124,233,300,53.29978460464017
70,228,1137,238,309,51.75590462007649
