,Active Humans,Active Bots,Deactivated Humans,Deactivated Bots,Average Human Satisfaction,Human Quadrant Distribution,Bot Quadrant Distribution,Human to Bot Ratio,bot_ban_rate_multiplier,replication
0,190,17,0,0,99.75758899235574,"{'tech_business': 46, 'politics_news': 38, 'hobbies': 45, 'pop_culture': 61}","{'tech_business': 7, 'politics_news': 8, 'hobbies': 0, 'pop_culture': 2}",11.176470588235293,0.1,0
1,196,21,0,0,99.10833537001575,"{'tech_business': 47, 'politics_news': 41, 'hobbies': 45, 'pop_culture': 63}","{'tech_business': 10, 'politics_news': 8, 'hobbies': 0, 'pop_culture': 3}",9.333333333333334,0.1,0
2,202,24,0,1,98.29077429717762,"{'tech_business': 51, 'politics_news': 38, 'hobbies': 46, 'pop_culture': 67}","{'tech_business': 12, 'politics_news': 9, 'hobbies': 0, 'pop_culture': 3}",8.416666666666666,0.1,0
3,204,26,0,2,98.11289510651757,"{'tech_business': 47, 'politics_news': 43, 'hobbies': 44, 'pop_culture': 70}","{'tech_business': 14, 'politics_news': 8, 'hobbies': 1, 'pop_culture': 3}",7.846153846153846,0.1,0
4,208,28,0,2,97.1252344911802,"{'tech_business': 45, 'politics_news': 45, 'hobbies': 46, 'pop_culture': 72}","{'tech_business': 16, 'politics_news': 8, 'hobbies': 1, 'pop_culture': 3}",7.428571428571429,0.1,0
5,213,31,0,2,95.66334075230068,"{'tech_business': 43, 'politics_news': 45, 'hobbies': 50, 'pop_culture': 75}","{'tech_business': 17, 'politics_news': 9, 'hobbies': 1, 'pop_culture': 4}",6.870967741935484,0.1,0
6,216,33,0,3,96.1705674288503,"{'tech_business': 39, 'politics_news': 50, 'hobbies': 52, 'pop_culture': 75}","{'tech_business': 17, 'politics_news': 11, 'hobbies': 1, 'pop_culture': 4}",6.545454545454546,0.1,0
7,224,37,0,3,95.93741931949145,"{'tech_business': 45, 'politics_news': 51, 'hobbies': 54, 'pop_culture': 74}","{'tech_business': 19, 'politics_news': 13, 'hobbies': 1, 'pop_culture': 4}",6.054054054054054,0.1,0
8,232,38,0,4,95.37530261719272,"{'tech_business': 44, 'politics_news': 53, 'hobbies': 59, 'pop_culture': 76}","{'tech_business': 19, 'politics_news': 12, 'hobbies': 1, 'pop_culture': 6}",6.105263157894737,0.1,0
9,239,35,0,7,94.80896333426685,"{'tech_business': 42, 'politics_news': 55, 'hobbies': 65, 'pop_culture': 77}","{'tech_business': 17, 'politics_news': 11, 'hobbies': 1, 'pop_culture': 6}",6.828571428571428,0.1,0
10,246,35,0,10,94.74046058758981,"{'tech_business': 42, 'politics_news': 54, 'hobbies': 77, 'pop_culture': 73}","{'tech_business': 17, 'politics_news': 11, 'hobbies': 1, 'pop_culture': 6}",7.0285714285714285,0.1,0
11,252,35,0,12,94.59405664166327,"{'tech_business': 42, 'politics_news': 49, 'hobbies': 73, 'pop_culture': 88}","{'tech_business': 17, 'politics_news': 10, 'hobbies': 1, 'pop_culture': 7}",7.2,0.1,0
12,260,34,0,14,95.17484877805906,"{'tech_business': 42, 'politics_news': 56, 'hobbies': 77, 'pop_culture': 85}","{'tech_business': 17, 'politics_news': 9, 'hobbies': 1, 'pop_culture': 7}",7.647058823529412,0.1,0
13,267,35,0,15,95.26687691642373,"{'tech_business': 42, 'politics_news': 52, 'hobbies': 83, 'pop_culture': 90}","{'tech_business': 16, 'politics_news': 11, 'hobbies': 1, 'pop_culture': 7}",7.628571428571429,0.1,0
14,271,36,0,15,95.04154162889984,"{'tech_business': 44, 'politics_news': 58, 'hobbies': 75, 'pop_culture': 94}","{'tech_business': 17, 'politics_news': 11, 'hobbies': 1, 'pop_culture': 7}",7.527777777777778,0.1,0
15,279,35,0,16,93.92298251459486,"{'tech_business': 39, 'politics_news': 57, 'hobbies': 80, 'pop_culture': 103}","{'tech_business': 16, 'politics_news': 11, 'hobbies': 1, 'pop_culture': 7}",7.9714285714285715,0.1,0
16,283,35,1,17,95.08285400850208,"{'tech_business': 37, 'politics_news': 66, 'hobbies': 76, 'pop_culture': 104}","{'tech_business': 16, 'politics_news': 11, 'hobbies': 1, 'pop_culture': 7}",8.085714285714285,0.1,0
17,289,35,1,17,96.45812606148259,"{'tech_business': 39, 'politics_news': 58, 'hobbies': 81, 'pop_culture': 111}","{'tech_business': 16, 'politics_news': 11, 'hobbies': 1, 'pop_culture': 7}",8.257142857142858,0.1,0
18,292,36,2,18,96.46761122468786,"{'tech_business': 42, 'politics_news': 59, 'hobbies': 83, 'pop_culture': 108}","{'tech_business': 18, 'politics_news': 11, 'hobbies': 1, 'pop_culture': 6}",8.11111111111111,0.1,0
19,295,39,2,19,97.00011587164725,"{'tech_business': 45, 'politics_news': 54, 'hobbies': 84, 'pop_culture': 112}","{'tech_business': 22, 'politics_news': 10, 'hobbies': 1, 'pop_culture': 6}",7.564102564102564,0.1,0
20,302,41,2,20,96.05820604716139,"{'tech_business': 48, 'politics_news': 59, 'hobbies': 81, 'pop_culture': 114}","{'tech_business': 22, 'politics_news': 12, 'hobbies': 1, 'pop_culture': 6}",7.365853658536586,0.1,0
21,307,41,3,20,95.64319091089287,"{'tech_business': 47, 'politics_news': 60, 'hobbies': 92, 'pop_culture': 108}","{'tech_business': 22, 'politics_news': 12, 'hobbies': 1, 'pop_culture': 6}",7.487804878048781,0.1,0
22,310,39,3,22,95.29229992222726,"{'tech_business': 49, 'politics_news': 62, 'hobbies': 89, 'pop_culture': 110}","{'tech_business': 21, 'politics_news': 11, 'hobbies': 1, 'pop_culture': 6}",7.948717948717949,0.1,0
23,315,40,3,22,94.52493604211466,"{'tech_business': 53, 'politics_news': 68, 'hobbies': 85, 'pop_culture': 109}","{'tech_business': 21, 'politics_news': 12, 'hobbies': 1, 'pop_culture': 6}",7.875,0.1,0
24,319,42,3,23,95.93181529796671,"{'tech_business': 51, 'politics_news': 69, 'hobbies': 89, 'pop_culture': 110}","{'tech_business': 21, 'politics_news': 12, 'hobbies': 2, 'pop_culture': 7}",7.595238095238095,0.1,0
25,322,40,3,26,94.55653964178553,"{'tech_business': 50, 'politics_news': 65, 'hobbies': 107, 'pop_culture': 100}","{'tech_business': 21, 'politics_news': 11, 'hobbies': 2, 'pop_culture': 6}",8.05,0.1,0
